report_month,project_code,original_cost,expenditure,expenditure_ratio,physical_progress,previous_progress,progress_change,progress_velocity,previous_expenditure,expenditure_change,expenditure_velocity,previous_observations,months_observed,days_since_first_report,has_physical_progress,has_expenditure,has_original_cost,state,sector,ministry_final,agency_final,start_date,original_doc,future_time_delay
2025-02-01,618854,706.41,515.53,72.97886496510525,97.0,,,,,,,0,1,0,1,1,1,Uttar Pradesh,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],02/2021,,1
2025-02-01,618855,838.68,560.31,66.80855630276147,99.0,,,,,,,0,1,0,1,1,1,Uttar Pradesh,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],03/2022,,1
2025-12-01,618855,838.68,556.76,66.38527209424335,99.0,99.0,0.0,0.0,560.31,-3.5499999999999545,-0.0117161716171615,1,2,303,1,1,1,Uttar Pradesh,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,618864,1722.11,1001.58,58.16004784827915,99.0,,,,,,,0,1,0,1,1,1,Uttar Pradesh,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],01/2022,,1
2025-12-01,618864,1722.11,1000.51,58.09791476734936,99.0,99.0,0.0,0.0,1001.58,-1.07000000000005,-0.0035313531353136,1,2,303,1,1,1,Uttar Pradesh,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,618865,1384.79,823.04,59.43428245437936,99.0,,,,,,,0,1,0,1,1,1,Uttar Pradesh,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],12/2021,,1
2025-02-01,618897,2356.19,1011.27,42.91971360543928,100.0,,,,,,,0,1,0,1,1,1,Tamil Nadu,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],,,1
2025-02-01,618913,609.63,114.77,18.82617325262864,96.0,,,,,,,0,1,0,1,1,1,Odisha,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],10/2017,,1
2025-02-01,618915,1637.29,728.91,44.51929713123515,89.0,,,,,,,0,1,0,1,1,1,Bihar,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],09/2019,,1
2025-02-01,618916,1077.46,774.78,71.90800586564698,92.0,,,,,,,0,1,0,1,1,1,Bihar,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],09/2019,,1
