feature,importance
agency_final_Narmada_and_Water_Resources__Water_Supply_and_Kalpsar_Department-GJ,0
agency_final_National_Buildings_Construction_Corporation_(NBCC),0
agency_final_National_Capital_Region_Transport_Corporation_(NCRTC),0
agency_final_National_Communication_Academy_-_Finance_(Erstwhile_NICF),0
agency_final_National_Communication_Academy_-_Finance_(Erstwhile_NICF)_duplicate_1,0
agency_final_National_High_Speed_Rail_Corporation_(NHSRC),0
agency_final_National_Highways___Infrastructure_Development_Corporation_Ltd._(NHIDCL),0
agency_final_National_Hydroelectric_Power_Corporation_Limited_(NHPC),0
agency_final_National_Industrial_Corridor_Development_Corporation,0
agency_final_National_Institute_of_Technology_Delhi,0
agency_final_National_Institute_of_Technology_Uttarakhand,0
agency_final_National_Institute_of_Technology__Arunachal_Pradesh,0
agency_final_National_Institute_of_Technology__Meghalaya,0
agency_final_National_Institute_of_Technology__Puducherry,0
agency_final_National_Mineral_Development_Corporation_Limited_(NMDC),0
agency_final_New_Mangalore_Port_Authority,0
agency_final_North_Central_Railway_(NCR)_-_II,0
agency_final_North_Central_Railway_(NCR)_-_II_duplicate_1,0
agency_final_North_Eastern_Electric_Power_Corporation_Limited,0
agency_final_North_Eastern_Railway_(NER)_-_II,0
agency_final_Northeast_Frontier_Railway_(NFR)_-_II,0
agency_final_Northeast_Frontier_Railway_(NFR),0
agency_final_Northeast_Frontier_Railway_(NFR)_-_II_duplicate_1,0
agency_final_Northen_Railway_(NR),0
agency_final_Northern_Coalfields_Limited_(NCL),0
agency_final_Northern_Railways,0
agency_final_OIL,0
agency_final_ONGC,0
agency_final_PCE_NCR,0
agency_final_PMSSY_AND_Institute_of_NATIONAL_Importance,0
agency_final_Paradip_Port_Trust_(PPT),0
agency_final_Patna_Metro_Rail_Corporation_Ltd._(PMRCL),0
agency_final_RCIL,0
agency_final_RITES_OF_HIGHER,0
agency_final_RVNL,0
agency_final_RVNL_-_I,0
agency_final_Rail_Land_Development_Authority,0
agency_final_Rail_Vikas_Nigam_Limited,0
agency_final_Railway,0
agency_final_Reliance_Industries_Ltd,0
agency_final_SECL_-_CIL,0
agency_final_SJVN,0
agency_final_SR,0
agency_final_SR-ERS,0
agency_final_SWR,0
agency_final_Satluj_Jal_Vidyut_Nigam_(SJVN)_Thermal_Limited,0
agency_final_Sikkim_University,0
agency_final_Singareni_Collieries_Company_Limited_(SCCL),0
